total employees,work_year,experience_level,employment_type,job_title,salary,salary_currency, salary_in_usd ,employee_residence,remote_ratio,company_location,company_size,Average sallary of 2020,Average sallary of 2021,Average sallary of 2022,"Median of total 2020,2021,2022",top
39,2020,EN,FT,Machine Learning Engineer,138000,USD," $138,000 ",US,100,US,S,,,,,
40,2020,MI,FT,Data Scientist,45760,USD," $45,760 ",PH,100,US,S,,,,,
41,2020,EX,FT,Data Engineering Manager,70000,EUR," $79,833 ",ES,50,ES,L,,,,,
42,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR," $50,180 ",PT,0,PT,M,,,,,
43,2020,MI,FT,Data Engineer,106000,USD," $106,000 ",US,100,US,L,,,,,
44,2020,MI,FT,Data Engineer,88000,GBP," $112,872 ",GB,50,GB,L,,,,,
45,2020,EN,PT,ML Engineer,14000,EUR," $15,966 ",DE,100,DE,S,,,,,
46,2020,MI,FT,Data Scientist,60000,GBP," $76,958 ",GB,100,GB,S,,,,,
47,2020,SE,FT,Data Engineer,188000,USD," $188,000 ",US,100,US,L,,,,,
48,2020,MI,FT,Data Scientist,105000,USD," $105,000 ",US,100,US,L,,,,,
49,2020,MI,FT,Data Engineer,61500,EUR," $70,139 ",FR,50,FR,L,,,,,
50,2020,EN,FT,Data Analyst,450000,INR," $6,072 ",IN,0,IN,S,,,,,
51,2020,EN,FT,Data Analyst,91000,USD," $91,000 ",US,100,US,L,,,,,
52,2020,EN,FT,AI Scientist,300000,DKK," $45,896 ",DK,50,DK,S,,,,,
53,2020,EN,FT,Data Engineer,48000,EUR," $54,742 ",PK,100,DE,L,,,,,
54,2020,SE,FL,Computer Vision Engineer,60000,USD," $60,000 ",RU,100,US,S,,,,,
55,2020,SE,FT,Principal Data Scientist,130000,EUR," $148,261 ",DE,100,DE,M,,,,,
56,2020,MI,FT,Data Scientist,34000,EUR," $38,776 ",ES,100,ES,M,,,,,
57,2020,MI,FT,Data Scientist,118000,USD," $118,000 ",US,100,US,M,,,,,
58,2020,SE,FT,Data Scientist,120000,USD," $120,000 ",US,50,US,L,,,,,
59,2020,MI,FT,Data Scientist,138350,USD," $138,350 ",US,100,US,M,,,,,
60,2020,MI,FT,Data Engineer,110000,USD," $110,000 ",US,100,US,L,,,,,
61,2020,MI,FT,Data Engineer,130800,USD," $130,800 ",ES,100,US,M,,,,,
62,2020,EN,PT,Data Scientist,19000,EUR," $21,669 ",IT,50,IT,S,,,,,
63,2020,SE,FT,Data Scientist,412000,USD," $412,000 ",US,100,US,L,,,,,
64,2020,SE,FT,Machine Learning Engineer,40000,EUR," $45,618 ",HR,100,HR,S,,,,,
65,2020,EN,FT,Data Scientist,55000,EUR," $62,726 ",DE,50,DE,S,,,,,
66,2020,EN,FT,Data Scientist,43200,EUR," $49,268 ",DE,0,DE,S,,,,,
67,2020,SE,FT,Data Science Manager,190200,USD," $190,200 ",US,100,US,M,,,,,
68,2020,EN,FT,Data Scientist,105000,USD," $105,000 ",US,100,US,S,,,,,
69,2020,SE,FT,Data Scientist,80000,EUR," $91,237 ",AT,0,AT,S,,,,,
70,2020,MI,FT,Data Scientist,55000,EUR," $62,726 ",FR,50,LU,S,,,,,
71,2020,MI,FT,Data Scientist,37000,EUR," $42,197 ",FR,50,FR,S,,,,,
72,2021,EN,FT,Research Scientist,60000,GBP," $82,528 ",GB,50,GB,L,,,,,
73,2021,EX,FT,BI Data Analyst,150000,USD," $150,000 ",IN,100,US,L,,,,,
74,2021,EX,FT,Head of Data,235000,USD," $235,000 ",US,100,US,L,,,,,
75,2021,SE,FT,Data Scientist,45000,EUR," $53,192 ",FR,50,FR,L,,,,,
76,2021,MI,FT,BI Data Analyst,100000,USD," $100,000 ",US,100,US,M,,,,,
77,2021,MI,PT,3D Computer Vision Researcher,400000,INR," $5,409 ",IN,50,IN,M,,,,,
78,2021,MI,CT,ML Engineer,270000,USD," $270,000 ",US,100,US,L,,,,,
79,2021,EN,FT,Data Analyst,80000,USD," $80,000 ",US,100,US,M,,,,,
80,2021,SE,FT,Data Analytics Engineer,67000,EUR," $79,197 ",DE,100,DE,L,,,,,
81,2021,MI,FT,Data Engineer,140000,USD," $140,000 ",US,100,US,L,,,,,
82,2021,MI,FT,Applied Data Scientist,68000,CAD," $54,238 ",GB,50,CA,L,,,,,
83,2021,MI,FT,Machine Learning Engineer,40000,EUR," $47,282 ",ES,100,ES,S,,,,,
84,2021,EX,FT,Director of Data Science,130000,EUR," $153,667 ",IT,100,PL,L,,,,,
85,2021,MI,FT,Data Engineer,110000,PLN," $28,476 ",PL,100,PL,L,,,,,
86,2021,EN,FT,Data Analyst,50000,EUR," $59,102 ",FR,50,FR,M,,,,,
87,2021,MI,FT,Data Analytics Engineer,110000,USD," $110,000 ",US,100,US,L,,,,,
88,2021,SE,FT,Lead Data Analyst,170000,USD," $170,000 ",US,100,US,L,,,,,
89,2021,SE,FT,Data Analyst,80000,USD," $80,000 ",BG,100,US,S,,,,,
90,2021,SE,FT,Marketing Data Analyst,75000,EUR," $88,654 ",GR,100,DK,L,,,,,
91,2021,EN,FT,Data Science Consultant,65000,EUR," $76,833 ",DE,100,DE,S,,,,,
92,2021,MI,FT,Lead Data Analyst,1450000,INR," $19,609 ",IN,100,IN,L,,,,,
93,2021,SE,FT,Lead Data Engineer,276000,USD," $276,000 ",US,0,US,L,,,,,
94,2021,EN,FT,Data Scientist,2200000,INR," $29,751 ",IN,50,IN,L,,,,,
95,2021,MI,FT,Cloud Data Engineer,120000,SGD," $89,294 ",SG,50,SG,L,,,,,
96,2021,EN,PT,AI Scientist,12000,USD," $12,000 ",BR,100,US,S,,,,,
97,2021,MI,FT,Financial Data Analyst,450000,USD," $450,000 ",US,100,US,L,,,,,
98,2021,EN,FT,Computer Vision Software Engineer,70000,USD," $70,000 ",US,100,US,M,,,,,
99,2021,MI,FT,Computer Vision Software Engineer,81000,EUR," $95,746 ",DE,100,US,S,,,,,
100,2021,MI,FT,Data Analyst,75000,USD," $75,000 ",US,0,US,L,,,,,
101,2021,SE,FT,Data Engineer,150000,USD," $150,000 ",US,100,US,L,,,,,
102,2021,MI,FT,BI Data Analyst,11000000,HUF," $36,259 ",HU,50,US,L,,,,,
103,2021,MI,FT,Data Analyst,62000,USD," $62,000 ",US,0,US,L,,,,,
104,2021,MI,FT,Data Scientist,73000,USD," $73,000 ",US,0,US,L,,,,,
105,2021,MI,FT,Data Analyst,37456,GBP," $51,519 ",GB,50,GB,L,,,,,
106,2021,MI,FT,Research Scientist,235000,CAD," $187,442 ",CA,100,CA,L,,,,,
107,2021,SE,FT,Data Engineer,115000,USD," $115,000 ",US,100,US,S,,,,,
108,2021,SE,FT,Data Engineer,150000,USD," $150,000 ",US,100,US,M,,,,,
109,2021,EN,FT,Data Engineer,2250000,INR," $30,428 ",IN,100,IN,L,,,,,
110,2021,SE,FT,Machine Learning Engineer,80000,EUR," $94,564 ",DE,50,DE,L,,,,,
111,2021,SE,FT,Director of Data Engineering,82500,GBP," $113,476 ",GB,100,GB,M,,,,,
112,2021,SE,FT,Lead Data Engineer,75000,GBP," $103,160 ",GB,100,GB,S,,,,,
113,2021,EN,PT,AI Scientist,12000,USD," $12,000 ",PK,100,US,M,,,,,
114,2021,MI,FT,Data Engineer,38400,EUR," $45,391 ",NL,100,NL,L,,,,,
115,2021,EN,FT,Machine Learning Scientist,225000,USD," $225,000 ",US,100,US,L,,,,,
116,2021,MI,FT,Data Scientist,50000,USD," $50,000 ",NG,100,NG,L,,,,,
117,2021,MI,FT,Data Science Engineer,34000,EUR," $40,189 ",GR,100,GR,M,,,,,
118,2021,EN,FT,Data Analyst,90000,USD," $90,000 ",US,100,US,S,,,,,
119,2021,MI,FT,Data Engineer,200000,USD," $200,000 ",US,100,US,L,,,,,
120,2021,MI,FT,Big Data Engineer,60000,USD," $60,000 ",ES,50,RO,M,,,,,
121,2021,SE,FT,Principal Data Engineer,200000,USD," $200,000 ",US,100,US,M,,,,,
122,2021,EN,FT,Data Analyst,50000,USD," $50,000 ",US,100,US,M,,,,,
123,2021,EN,FT,Applied Data Scientist,80000,GBP," $110,037 ",GB,0,GB,L,,,,,
124,2021,EN,PT,Data Analyst,8760,EUR," $10,354 ",ES,50,ES,M,,,,,
125,2021,MI,FT,Principal Data Scientist,151000,USD," $151,000 ",US,100,US,L,,,,,
126,2021,SE,FT,Machine Learning Scientist,120000,USD," $120,000 ",US,50,US,S,,,,,
127,2021,MI,FT,Data Scientist,700000,INR," $9,466 ",IN,0,IN,S,,,,,
128,2021,EN,FT,Machine Learning Engineer,20000,USD," $20,000 ",IN,100,IN,S,,,,,
129,2021,SE,FT,Lead Data Scientist,3000000,INR," $40,570 ",IN,50,IN,L,,,,,
130,2021,EN,FT,Machine Learning Developer,100000,USD," $100,000 ",IQ,50,IQ,S,,,,,
131,2021,EN,FT,Data Scientist,42000,EUR," $49,646 ",FR,50,FR,M,,,,,
132,2021,MI,FT,Applied Machine Learning Scientist,38400,USD," $38,400 ",VN,100,US,M,,,,,
133,2021,SE,FT,Computer Vision Engineer,24000,USD," $24,000 ",BR,100,BR,M,,,,,
134,2021,EN,FT,Data Scientist,100000,USD," $100,000 ",US,0,US,S,,,,,
135,2021,MI,FT,Data Analyst,90000,USD," $90,000 ",US,100,US,M,,,,,
136,2021,MI,FT,ML Engineer,7000000,JPY," $63,711 ",JP,50,JP,S,,,,,
137,2021,MI,FT,ML Engineer,8500000,JPY," $77,364 ",JP,50,JP,S,,,,,
138,2021,SE,FT,Principal Data Scientist,220000,USD," $220,000 ",US,0,US,L,,,,,
139,2021,EN,FT,Data Scientist,80000,USD," $80,000 ",US,100,US,M,,,,,
140,2021,MI,FT,Data Analyst,135000,USD," $135,000 ",US,100,US,L,,,,,
141,2021,SE,FT,Data Science Manager,240000,USD," $240,000 ",US,0,US,L,,,,,
142,2021,SE,FT,Data Engineering Manager,150000,USD," $150,000 ",US,0,US,L,,,,,
143,2021,MI,FT,Data Scientist,82500,USD," $82,500 ",US,100,US,S,,,,,
144,2021,MI,FT,Data Engineer,100000,USD," $100,000 ",US,100,US,L,,,,,
145,2021,SE,FT,Machine Learning Engineer,70000,EUR," $82,744 ",BE,50,BE,M,,,,,
146,2021,MI,FT,Research Scientist,53000,EUR," $62,649 ",FR,50,FR,M,,,,,
147,2021,MI,FT,Data Engineer,90000,USD," $90,000 ",US,100,US,L,,,,,
148,2021,SE,FT,Data Engineering Manager,153000,USD," $153,000 ",US,100,US,L,,,,,
149,2021,SE,FT,Cloud Data Engineer,160000,USD," $160,000 ",BR,100,US,S,,,,,
150,2021,SE,FT,Director of Data Science,168000,USD," $168,000 ",JP,0,JP,S,,,,,
151,2021,MI,FT,Data Scientist,150000,USD," $150,000 ",US,100,US,M,,,,,
152,2021,MI,FT,Data Scientist,95000,CAD," $75,774 ",CA,100,CA,L,,,,,
153,2021,EN,FT,Data Scientist,13400,USD," $13,400 ",UA,100,UA,L,,,,,
154,2021,SE,FT,Data Science Manager,144000,USD," $144,000 ",US,100,US,L,,,,,
155,2021,SE,FT,Data Science Engineer,159500,CAD," $127,221 ",CA,50,CA,L,,,,,
156,2021,MI,FT,Data Scientist,160000,SGD," $119,059 ",SG,100,IL,M,,,,,
157,2021,MI,FT,Applied Machine Learning Scientist,423000,USD," $423,000 ",US,50,US,L,,,,,
158,2021,SE,FT,Data Analytics Manager,120000,USD," $120,000 ",US,100,US,M,,,,,
159,2021,EN,FT,Machine Learning Engineer,125000,USD," $125,000 ",US,100,US,S,,,,,
160,2021,EX,FT,Head of Data,230000,USD," $230,000 ",RU,50,RU,L,,,,,
161,2021,EX,FT,Head of Data Science,85000,USD," $85,000 ",RU,0,RU,M,,,,,
162,2021,MI,FT,Data Engineer,24000,EUR," $28,369 ",MT,50,MT,L,,,,,
163,2021,EN,FT,Data Science Consultant,54000,EUR," $63,831 ",DE,50,DE,L,,,,,
164,2021,EX,FT,Director of Data Science,110000,EUR," $130,026 ",DE,50,DE,M,,,,,
165,2021,SE,FT,Data Specialist,165000,USD," $165,000 ",US,100,US,L,,,,,
166,2021,EN,FT,Data Engineer,80000,USD," $80,000 ",US,100,US,L,,,,,
167,2021,EX,FT,Director of Data Science,250000,USD," $250,000 ",US,0,US,L,,,,,
168,2021,EN,FT,BI Data Analyst,55000,USD," $55,000 ",US,50,US,S,,,,,
169,2021,MI,FT,Data Architect,150000,USD," $150,000 ",US,100,US,L,,,,,
170,2021,MI,FT,Data Architect,170000,USD," $170,000 ",US,100,US,L,,,,,
171,2021,MI,FT,Data Engineer,60000,GBP," $82,528 ",GB,100,GB,L,,,,,
172,2021,EN,FT,Data Analyst,60000,USD," $60,000 ",US,100,US,S,,,,,
173,2021,SE,FT,Principal Data Scientist,235000,USD," $235,000 ",US,100,US,L,,,,,
174,2021,SE,FT,Research Scientist,51400,EUR," $60,757 ",PT,50,PT,L,,,,,
175,2021,SE,FT,Data Engineering Manager,174000,USD," $174,000 ",US,100,US,L,,,,,
176,2021,MI,FT,Data Scientist,58000,MXN," $2,859 ",MX,0,MX,S,,,,,
177,2021,MI,FT,Data Scientist,30400000,CLP," $40,038 ",CL,100,CL,L,,,,,
178,2021,EN,FT,Machine Learning Engineer,81000,USD," $81,000 ",US,50,US,S,,,,,
179,2021,MI,FT,Data Scientist,420000,INR," $5,679 ",IN,100,US,S,,,,,
180,2021,MI,FT,Big Data Engineer,1672000,INR," $22,611 ",IN,0,IN,L,,,,,
181,2021,MI,FT,Data Scientist,76760,EUR," $90,734 ",DE,50,DE,L,,,,,
182,2021,MI,FT,Data Engineer,22000,EUR," $26,005 ",RO,0,US,L,,,,,
183,2021,SE,FT,Finance Data Analyst,45000,GBP," $61,896 ",GB,50,GB,L,,,,,
184,2021,MI,FL,Machine Learning Scientist,12000,USD," $12,000 ",PK,50,PK,M,,,,,
185,2021,MI,FT,Data Engineer,4000,USD," $4,000 ",IR,100,IR,M,,,,,
186,2021,SE,FT,Data Analytics Engineer,50000,USD," $50,000 ",VN,100,GB,M,,,,,
187,2021,EX,FT,Data Science Consultant,59000,EUR," $69,741 ",FR,100,ES,S,,,,,
188,2021,SE,FT,Data Engineer,65000,EUR," $76,833 ",RO,50,GB,S,,,,,
189,2021,MI,FT,Machine Learning Engineer,74000,USD," $74,000 ",JP,50,JP,S,,,,,
190,2021,SE,FT,Data Science Manager,152000,USD," $152,000 ",US,100,FR,L,,,,,
191,2021,EN,FT,Machine Learning Engineer,21844,USD," $21,844 ",CO,50,CO,M,,,,,
192,2021,MI,FT,Big Data Engineer,18000,USD," $18,000 ",MD,0,MD,S,,,,,
193,2021,SE,FT,Data Science Manager,174000,USD," $174,000 ",US,100,US,L,,,,,
194,2021,SE,FT,Research Scientist,120500,CAD," $96,113 ",CA,50,CA,L,,,,,
195,2021,MI,FT,Data Scientist,147000,USD," $147,000 ",US,50,US,L,,,,,
196,2021,EN,FT,BI Data Analyst,9272,USD," $9,272 ",KE,100,KE,S,,,,,
197,2021,SE,FT,Machine Learning Engineer,1799997,INR," $24,342 ",IN,100,IN,L,,,,,
198,2021,SE,FT,Data Science Manager,4000000,INR," $54,094 ",IN,50,US,L,,,,,
199,2021,EN,FT,Data Science Consultant,90000,USD," $90,000 ",US,100,US,S,,,,,
200,2021,MI,FT,Data Scientist,52000,EUR," $61,467 ",DE,50,AT,M,,,,,
201,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD," $195,000 ",US,100,US,M,,,,,
202,2021,MI,FT,Data Scientist,32000,EUR," $37,825 ",ES,100,ES,L,,,,,
203,2021,SE,FT,Research Scientist,50000,USD," $50,000 ",FR,100,US,S,,,,,
204,2021,MI,FT,Data Scientist,160000,USD," $160,000 ",US,100,US,L,,,,,
205,2021,MI,FT,Data Scientist,69600,BRL," $12,901 ",BR,0,BR,S,,,,,
206,2021,SE,FT,Machine Learning Engineer,200000,USD," $200,000 ",US,100,US,L,,,,,
207,2021,SE,FT,Data Engineer,165000,USD," $165,000 ",US,0,US,M,,,,,
208,2021,MI,FL,Data Engineer,20000,USD," $20,000 ",IT,0,US,L,,,,,
209,2021,SE,FT,Data Analytics Manager,120000,USD," $120,000 ",US,0,US,L,,,,,
210,2021,MI,FT,Machine Learning Engineer,21000,EUR," $24,823 ",SI,50,SI,L,,,,,
211,2021,MI,FT,Research Scientist,48000,EUR," $56,738 ",FR,50,FR,S,,,,,
212,2021,MI,FT,Data Engineer,48000,GBP," $66,022 ",HK,50,GB,S,,,,,
213,2021,EN,FT,Big Data Engineer,435000,INR," $5,882 ",IN,0,CH,L,,,,,
214,2021,EN,FT,Machine Learning Engineer,21000,EUR," $24,823 ",DE,50,DE,M,,,,,
215,2021,SE,FT,Principal Data Engineer,185000,USD," $185,000 ",US,100,US,L,,,,,
216,2021,EN,PT,Computer Vision Engineer,180000,DKK," $28,609 ",DK,50,DK,S,,,,,
217,2021,MI,FT,Data Scientist,76760,EUR," $90,734 ",DE,50,DE,L,,,,,
218,2021,MI,FT,Machine Learning Engineer,75000,EUR," $88,654 ",BE,100,BE,M,,,,,
219,2021,SE,FT,Data Analytics Manager,140000,USD," $140,000 ",US,100,US,L,,,,,
220,2021,MI,FT,Machine Learning Engineer,180000,PLN," $46,597 ",PL,100,PL,L,,,,,
221,2021,MI,FT,Data Scientist,85000,GBP," $116,914 ",GB,50,GB,L,,,,,
222,2021,MI,FT,Data Scientist,2500000,INR," $33,808 ",IN,0,IN,M,,,,,
223,2021,MI,FT,Data Scientist,40900,GBP," $56,256 ",GB,50,GB,L,,,,,
224,2021,SE,FT,Machine Learning Scientist,225000,USD," $225,000 ",US,100,CA,L,,,,,
225,2021,EX,CT,Principal Data Scientist,416000,USD," $416,000 ",US,100,US,S,,,,,
226,2021,SE,FT,Data Scientist,110000,CAD," $87,738 ",CA,100,CA,S,,,,,
227,2021,MI,FT,Data Scientist,75000,EUR," $88,654 ",DE,50,DE,L,,,,,
228,2021,SE,FT,Data Scientist,135000,USD," $135,000 ",US,0,US,L,,,,,
229,2021,SE,FT,Data Analyst,90000,CAD," $71,786 ",CA,100,CA,M,,,,,
230,2021,EN,FT,Big Data Engineer,1200000,INR," $16,228 ",IN,100,IN,L,,,,,
231,2021,SE,FT,ML Engineer,256000,USD," $256,000 ",US,100,US,S,,,,,
232,2021,SE,FT,Director of Data Engineering,200000,USD," $200,000 ",US,100,US,L,,,,,
233,2021,SE,FT,Data Analyst,200000,USD," $200,000 ",US,100,US,L,,,,,
234,2021,MI,FT,Data Architect,180000,USD," $180,000 ",US,100,US,L,,,,,
235,2021,MI,FT,Head of Data Science,110000,USD," $110,000 ",US,0,US,S,,,,,
236,2021,MI,FT,Research Scientist,80000,CAD," $63,810 ",CA,100,CA,M,,,,,
237,2021,MI,FT,Data Scientist,39600,EUR," $46,809 ",ES,100,ES,M,,,,,
238,2021,EN,FT,Data Scientist,4000,USD," $4,000 ",VN,0,VN,M,,,,,
239,2021,EN,FT,Data Engineer,1600000,INR," $21,637 ",IN,50,IN,M,,,,,
240,2021,SE,FT,Data Scientist,130000,CAD," $103,691 ",CA,100,CA,L,,,,,
241,2021,MI,FT,Data Analyst,80000,USD," $80,000 ",US,100,US,L,,,,,
242,2021,MI,FT,Data Engineer,110000,USD," $110,000 ",US,100,US,L,,,,,
243,2021,SE,FT,Data Scientist,165000,USD," $165,000 ",US,100,US,L,,,,,
244,2021,EN,FT,AI Scientist,1335000,INR," $18,053 ",IN,100,AS,S,,,,,
245,2021,MI,FT,Data Engineer,52500,GBP," $72,212 ",GB,50,GB,L,,,,,
246,2021,EN,FT,Data Scientist,31000,EUR," $36,643 ",FR,50,FR,L,,,,,
247,2021,MI,FT,Data Engineer,108000,TRY," $12,103 ",TR,0,TR,M,,,,,
248,2021,SE,FT,Data Engineer,70000,GBP," $96,282 ",GB,50,GB,L,,,,,
249,2021,SE,FT,Principal Data Analyst,170000,USD," $170,000 ",US,100,US,M,,,,,
250,2021,MI,FT,Data Scientist,115000,USD," $115,000 ",US,50,US,L,,,,,
251,2021,EN,FT,Data Scientist,90000,USD," $90,000 ",US,100,US,S,,,,,
252,2021,EX,FT,Principal Data Engineer,600000,USD," $600,000 ",US,100,US,L,,,,,
253,2021,EN,FT,Data Scientist,2100000,INR," $28,399 ",IN,100,IN,M,,,,,
254,2021,MI,FT,Data Analyst,93000,USD," $93,000 ",US,100,US,L,,,,,
255,2021,SE,FT,Big Data Architect,125000,CAD," $99,703 ",CA,50,CA,M,,,,,
256,2021,MI,FT,Data Engineer,200000,USD," $200,000 ",US,100,US,L,,,,,
257,2021,SE,FT,Principal Data Scientist,147000,EUR," $173,762 ",DE,100,DE,M,,,,,
258,2021,SE,FT,Machine Learning Engineer,185000,USD," $185,000 ",US,50,US,L,,,,,
259,2021,EX,FT,Director of Data Science,120000,EUR," $141,846 ",DE,0,DE,L,,,,,
260,2021,MI,FT,Data Scientist,130000,USD," $130,000 ",US,50,US,L,,,,,
261,2021,SE,FT,Data Analyst,54000,EUR," $63,831 ",DE,50,DE,L,,,,,
262,2021,MI,FT,Data Scientist,1250000,INR," $16,904 ",IN,100,IN,S,,,,,
263,2021,SE,FT,Machine Learning Engineer,4900000,INR," $66,265 ",IN,0,IN,L,,,,,
264,2021,MI,FT,Data Scientist,21600,EUR," $25,532 ",RS,100,DE,S,,,,,
265,2021,SE,FT,Lead Data Engineer,160000,USD," $160,000 ",PR,50,US,S,,,,,
266,2021,MI,FT,Data Engineer,93150,USD," $93,150 ",US,0,US,M,,,,,
267,2021,MI,FT,Data Engineer,111775,USD," $111,775 ",US,0,US,M,,,,,
268,2021,MI,FT,Data Engineer,250000,TRY," $28,016 ",TR,100,TR,M,,,,,
269,2021,EN,FT,Data Engineer,55000,EUR," $65,013 ",DE,50,DE,M,,,,,
270,2021,EN,FT,Data Engineer,72500,USD," $72,500 ",US,100,US,L,,,,,
271,2021,SE,FT,Computer Vision Engineer,102000,BRL," $18,907 ",BR,0,BR,M,,,,,
272,2021,EN,FT,Data Science Consultant,65000,EUR," $76,833 ",DE,0,DE,L,,,,,
273,2021,EN,FT,Machine Learning Engineer,85000,USD," $85,000 ",NL,100,DE,S,,,,,
274,2021,SE,FT,Data Scientist,65720,EUR," $77,684 ",FR,50,FR,M,,,,,
275,2021,EN,FT,Data Scientist,100000,USD," $100,000 ",US,100,US,M,,,,,
276,2021,EN,FT,Data Scientist,58000,USD," $58,000 ",US,50,US,L,,,,,
277,2021,SE,FT,AI Scientist,55000,USD," $55,000 ",ES,100,ES,L,,,,,
278,2021,SE,FT,Data Scientist,180000,TRY," $20,171 ",TR,50,TR,L,,,,,
279,2021,EN,FT,Business Data Analyst,50000,EUR," $59,102 ",LU,100,LU,L,,,,,
280,2021,MI,FT,Data Engineer,112000,USD," $112,000 ",US,100,US,L,,,,,
281,2021,EN,FT,Research Scientist,100000,USD," $100,000 ",JE,0,CN,L,,,,,
282,2021,MI,PT,Data Engineer,59000,EUR," $69,741 ",NL,100,NL,L,,,,,
283,2021,SE,CT,Staff Data Scientist,105000,USD," $105,000 ",US,100,US,M,,,,,
284,2021,MI,FT,Research Scientist,69999,USD," $69,999 ",CZ,50,CZ,L,,,,,
285,2021,SE,FT,Data Science Manager,7000000,INR," $94,665 ",IN,50,IN,L,,,,,
286,2021,SE,FT,Head of Data,87000,EUR," $102,839 ",SI,100,SI,L,,,,,
287,2021,MI,FT,Data Scientist,109000,USD," $109,000 ",US,50,US,L,,,,,
288,2021,MI,FT,Machine Learning Engineer,43200,EUR," $51,064 ",IT,50,IT,L,,,,,
289,2022,SE,FT,Data Engineer,135000,USD," $135,000 ",US,100,US,M,,,,,
290,2022,SE,FT,Data Analyst,155000,USD," $155,000 ",US,100,US,M,,,,,
291,2022,SE,FT,Data Analyst,120600,USD," $120,600 ",US,100,US,M,,,,,
292,2022,MI,FT,Data Scientist,130000,USD," $130,000 ",US,0,US,M,,,,,
